"DATA","Barri","Districte","F1","F2","RENDA","Q1","EDAT","ID4","ID5","ID7","ID9_rec","P1","P1A","Q1A","P1B","P2_1","P2_2","P2_3","P2_4","P2_6","P2_7","P2_5","P2_5B","P2_LLAR","P2","P2A","P2B","P3_0","P3_1","P3_2","P3_3","P3_95","P3_98","P3_99","P4","P5A_1","P5A_2","P5A_3","P5A_4","P5A_5","P5A_6","P5A_7","P5A_8","P5A_9","P5A_10","P5A_11","P5A_12","P5A_13","P5A_14","P5A_15","P5A_16","P5A_17","P5A_18","P5A_18_cod","P5A_19","P5A_20","P5A_1rec","P5A_2rec","P5A_3rec","P5A_4rec","P5A_5rec","P5A_6rec","P5A_7rec","P5A_8rec","P5A_9rec","P5A_10rec","P5A_11rec","P5A_12rec","P5A_13rec","P5A_14rec","P5A_15rec","P5A_16rec","P5A_17rec","P5A_18rec","P5A_19rec","P5A_20rec","P6","P7","P8","P8B","P9","P9B","P10","P10B_1","P10B_2","P10B_3","P10B_4","P10B_5","P10B_6","P10B_95","P10B_98","P10B_99","P11_0","P11_1","P11_2","P11_3","P11_4","P11_5","P11_98","P11_99","P11B","P11C_1","P11C_2","P11C_3","P11C_4","P11C_5","P11C_6","P11C_95","P11C_98","P11C_99","P12","Q12","P13","P13B_1","P13B_2","P13B_3","P13B_4","P13B_5","P13B_98","P13B_99","ID10","ID11","P14","P14_1cod","P14_2cod","Pes"
2020-10-15,8,2,1,1,4,2,6,1,3,4,2,1,2,3,,3,0,1,1,0,0,0,,5,1,1,,,,,,,,99,1,1,1,4,4,5,4,1,1,5,5,1,5,5,5,1,2,5,5,,5,5,1,1,1,1,2,1,1,1,2,2,1,2,2,2,1,1,2,2,2,2,2,0,,2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,3,2,,,,0.7058724
2020-10-15,30,6,1,1,3,1,6,1,3,3,2,1,2,4,,1,0,0,1,0,0,0,,2,2,,,,,,,,,99,1,1,5,3,5,5,5,1,3,3,3,1,4,5,5,3,4,5,5,,5,1,1,2,1,2,2,2,1,1,1,1,1,1,2,2,1,1,2,2,2,1,2,0,,2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,3,2,,,,0.9409094
2020-10-15,8,2,1,1,4,2,6,1,3,1,2,1,1,3,,1,1,0,1,0,0,0,,3,1,1,,,,,,,,99,1,1,1,2,1,5,4,1,1,4,4,2,4,5,5,5,4,5,5,,5,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,1,0,,2,,,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,1,,3,,,,,,,,5,2,,,,0.7058724
2020-10-15,6,2,1,1,3,1,5,1,3,5,2,2,,,4,1,0,0,0,0,0,0,,1,1,1,,,,,,,,99,1,1,1,2,5,5,5,1,4,1,5,1,5,5,5,5,5,5,5,,5,5,1,1,1,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,0,,2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,3,,,,,,,,2,2,,,,0.7415779
2020-10-15,43,7,1,1,2,1,3,1,1,1,2,1,2,5,,1,0,1,0,0,0,0,,2,1,1,,,,,,,,99,1,1,1,5,1,5,5,1,4,1,3,1,3,5,5,4,4,5,5,,5,3,1,1,2,1,2,2,1,1,1,1,1,1,2,2,1,1,2,2,2,1,2,0,,2,5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,4,2,,,,1.8220922
2020-10-19,19,4,1,1,4,2,4,1,1,4,2,1,2,7,,4,1,4,4,0,0,0,,13,1,1,,,1,2,,,,,1,1,1,1,1,5,5,1,2,2,3,2,3,5,5,3,4,5,3,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,6,,4,2,,,,,,,,,,,,,,3,4,,,,1,,,,,,,,,,2,8,2,,,,,,,,5,2,,,,0.7306445
2020-10-21,31,6,1,1,4,2,4,1,1,3,2,1,2,9,,3,3,3,1,0,1,0,,10,1,1,,,1,2,,,,,1,1,1,1,5,5,5,5,3,2,3,1,3,5,5,3,4,5,4,4,1,5,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,2,1,1,2,1,0,,1,3,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,8,2,,,,,,,,4,2,,,,0.7306445
2020-10-19,52,8,1,1,1,2,6,1,3,3,2,1,98,7,,2,2,1,0,0,1,0,,5,1,2,95,,1,,,,,,1,4,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,2,5,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,0,,2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,2,2,,,,0.5989871
2020-10-19,49,8,1,1,1,2,5,1,3,4,2,1,1,5,,2,1,0,1,0,0,0,,4,1,1,,,1,,,,,,1,4,1,1,1,5,1,1,2,1,4,1,5,1,5,5,5,5,5,,5,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,0,,2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,1,1,,,,5,,,2,2,,,,0.5194694
2020-10-19,45,8,1,1,1,1,6,1,3,4,2,1,2,10,,3,0,0,1,0,0,0,,4,1,1,,,1,,,,,,1,1,1,5,1,4,1,5,4,3,4,2,5,5,5,4,4,5,5,,5,4,1,1,2,1,1,1,2,1,1,1,1,2,2,2,1,1,2,2,2,1,1,3,6,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,2,3,,,,,,,,2,2,,,,0.6007356
